13.062 13.062    # From ESO web site (Bohlin source) 1
   1825.61    11.421 1
   1826.99    11.422 1
   1828.36    11.426 1
   1829.73    11.426 1
   1831.10    11.427 1
   1832.48    11.429 1
   1833.85    11.428 1
   1835.22    11.430 1
   1836.59    11.432 1
   1837.97    11.434 1
   1839.34    11.433 1
   1840.71    11.434 1
   1842.08    11.439 1
   1843.46    11.432 1
   1844.83    11.432 1
   1846.20    11.435 1
   1847.57    11.435 1
   1848.95    11.436 1
   1850.32    11.437 1
   1851.69    11.447 1
   1853.06    11.453 1
   1854.44    11.455 1
   1855.81    11.453 1
   1857.18    11.451 1
   1858.56    11.453 1
   1859.93    11.452 1
   1861.30    11.458 1
   1862.67    11.463 1
   1864.05    11.457 1
   1865.42    11.452 1
   1866.79    11.456 1
   1868.17    11.454 1
   1869.54    11.456 1
   1870.91    11.458 1
   1872.28    11.461 1
   1873.66    11.462 1
   1875.03    11.459 1
   1876.40    11.462 1
   1877.78    11.464 1
   1879.15    11.469 1
   1880.52    11.471 1
   1881.89    11.468 1
   1883.27    11.470 1
   1884.64    11.468 1
   1886.01    11.468 1
   1887.39    11.467 1
   1888.76    11.466 1
   1890.13    11.466 1
   1891.50    11.469 1
   1892.88    11.470 1
   1894.25    11.475 1
   1895.62    11.478 1
   1896.99    11.478 1
   1898.37    11.478 1
   1899.74    11.481 1
   1901.11    11.485 1
   1902.49    11.488 1
   1903.86    11.484 1
   1905.23    11.483 1
   1906.61    11.482 1
   1907.98    11.483 1
   1909.35    11.481 1
   1910.73    11.484 1
   1912.10    11.488 1
   1913.47    11.489 1
   1914.84    11.488 1
   1916.22    11.487 1
   1917.59    11.492 1
   1918.96    11.491 1
   1920.34    11.493 1
   1921.71    11.497 1
   1923.08    11.505 1
   1924.46    11.504 1
   1925.83    11.503 1
   1927.20    11.503 1
   1928.58    11.499 1
   1929.95    11.503 1
   1931.32    11.504 1
   1932.70    11.505 1
   1934.07    11.505 1
   1935.44    11.507 1
   1936.82    11.508 1
   1938.19    11.505 1
   1939.56    11.505 1
   1940.94    11.509 1
   1942.31    11.511 1
   1943.68    11.511 1
   1945.06    11.514 1
   1946.43    11.517 1
   1947.80    11.520 1
   1949.18    11.519 1
   1950.55    11.518 1
   1951.92    11.520 1
   1953.30    11.517 1
   1954.67    11.517 1
   1956.04    11.522 1
   1957.42    11.527 1
   1958.79    11.525 1
   1960.16    11.525 1
   1961.54    11.525 1
   1962.91    11.528 1
   1964.28    11.528 1
   1965.66    11.525 1
   1967.03    11.527 1
   1968.40    11.531 1
   1969.78    11.533 1
   1971.15    11.536 1
   1972.52    11.536 1
   1973.90    11.532 1
   1975.27    11.529 1
   1976.64    11.534 1
   1978.02    11.538 1
   1979.39    11.538 1
   1980.76    11.541 1
   1982.14    11.542 1
   1983.51    11.538 1
   1984.89    11.542 1
   1986.26    11.546 1
   1987.63    11.543 1
   1989.01    11.546 1
   1990.38    11.548 1
   1991.75    11.551 1
   1993.13    11.552 1
   1994.50    11.552 1
   1995.87    11.552 1
   1997.25    11.554 1
   1998.62    11.553 1
   1999.99    11.551 1
